sales_month,sku,monthly_units_sum,month,monthly_sales,l15day_sales,l7day_sales,monthly_sales_bb,l15day_sales_bb,l7day_sales_bb,monthly_orders_bb,l15day_orders_bb,l7day_orders_bb,monthly_orders,l15day_orders,l7day_orders,monthly_units_ordered,l15day_units_ordered,l7day_units_ordered,monthly_units_ordered_bb,l15day_units_ordered_bb,l7day_units_ordered_bb,mon_unit_session_per_bb,l15day_unit_session_per_bb,l7day_unit_session_per_bb,mon_sessions,l15day_sessions,l7day_sessions,mon_page_views,l15day_page_views,l7day_page_views,rec_bb_per,monthly_bb_per,l15day_bb_per,l7day_bb_per,monthly_pv_per,l15day_pv_per,l7day_pv_per,rec_rank,rec_merc_listings,rec_fba_listing,old_rank,old_merc_listings,old_fba_listing,avg_rank_l15,avg_rank_monthly,avg_rank_f15,avg_merc_listings_l15,avg_merc_listings_f15,avg_merc_listings_monthly,avg_fbalistings_listings_l15,avg_fbalistings_listings_f15,avg_fbalistings_monthly,category,category_o
7,FBA-3130-0050,14,6,166.78,92.04,30.68,0,0,0,0,0,0,9,5,2,10,6,2,0,0,0,0,0,0,49,28,13,63,36,15,33,59.875,26.125,8.25,0.00125,0,0,65955,0,0,63786,0,0,34579.461538,58811.230769,24231.769231,0,0,,0,0,,Pet Products,Pet Products
4,FBA-3131-0002,2,3,135,60,0,0,0,0,0,0,0,9,4,0,9,4,0,0,0,0,0,0,0,82,40,0,108,55,0,18,34.142857143,14.428571429,0,0.0085714286,0.0042857143,0,41708,0,0,21282,0,0,13981.466667,27818.1,13836.633333,0,0,,0,0,,Pet Products,Pet Products
5,FBA-3131-0002,10,4,30,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,21,0,0,40,0,0,0,2.5,0,0,0.01,0,0,36955,0,0,37520,0,0,12799.071429,30903.714286,18104.642857,0,0,,0,0,,Pet Products,Pet Products
6,FBA-3131-0002,7,5,150,60,0,0,0,0,0,0,0,10,4,0,10,4,0,0,0,0,0,0,0,93,41,0,113,52,0,9,42.444444444,9.2222222222,0,0.0022222222,0.0022222222,0,29661,0,0,21193,0,0,8586.1111111,21758,13171.888889,0,0,,0,0,,Pet Products,Pet Products
7,FBA-3131-0002,13,6,105,90,90,0,0,0,0,0,0,7,6,6,7,6,6,0,0,0,0,0,0,58,49,49,74,63,63,50,45.5,33.333333333,33.333333333,0.0033333333,0.0033333333,0.0033333333,15167,0,0,18992,0,0,14617.461538,28773.769231,14156.307692,0,0,,0,0,,Pet Products,Pet Products
4,FBA-3131-0003,11,3,85,51,0,0,0,0,0,0,0,5,3,0,5,3,0,0,0,0,0,0,0,13,8,0,13,8,0,67,60.4,48.4,0,0,0,0,56146,0,0,70405,0,0,26061.133333,58323.366667,32262.233333,0,0,,0,0,,Pet Products,Pet Products
5,FBA-3131-0003,5,4,187,34,17,17,17,0,1,1,0,5,2,1,11,2,1,1,1,0,50,50,0,8,5,3,8,5,3,67,33.4,13.4,13.4,0,0,0,107155,0,0,76579,0,0,32025.678571,78161.535714,46135.857143,0,0,,0,0,,Pet Products,Pet Products
6,FBA-3131-0003,4,5,85,68,0,17,17,0,1,1,0,5,4,0,5,4,0,1,1,0,50,50,0,16,14,0,22,18,0,50,50,40,0,0,0,0,62069,0,0,119929,0,0,27235.074074,80395.962963,53160.888889,0,0,,0,0,,Pet Products,Pet Products
7,FBA-3131-0003,5,6,68,34,0,0,0,0,0,0,0,4,2,0,4,2,0,0,0,0,0,0,0,11,2,0,14,2,0,0,43.25,12.5,0,0,0,0,46397,0,0,80677,0,0,49688,85486.269231,35798.269231,0,0,,0,0,,Pet Products,Pet Products
4,FBA-3131-0005,33,3,1022,672,294,0,0,0,0,0,0,72,47,20,73,48,21,0,0,0,0,0,0,409,225,100,523,292,131,100,73.233333333,43.1,23.333333333,0.0086666667,0.0046666667,0.0023333333,22145,0,0,52654,0,0,8306.6333333,24013.666667,15707.033333,0,0,,0,0,,Pet Products,Pet Products
